,Unnamed: 0,userID,ISBN,Rating,Title,Author,PublicationYear,publisher,bookTitle,bookAuthor,unique_ISBN,Location,Age,TotalRatingCount
23,276,276887,0812533550,9,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1986.0,Tor Books,,,0812533550,"arlington, massachusetts, usa",34.74663765822785,249
24,279,276889,0446613843,0,The Jester,James Patterson,2004.0,Warner Books,,,0446613843,"akron, ohio, usa",32.0,194
25,281,276896,0440241537,10,The King of Torts,JOHN GRISHAM,2003.0,Dell,,,0440241537,"mena, arkansas, usa",14.0,458
26,383,276928,059030271X,5,Charlotte's Web,E. B. White,1974.0,Scholastic Paperbacks (T),,,059030271X,"highland, california, usa",10.0,89
27,488,276957,0312966970,6,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks,,,0312966970,"iowa city, iowa, usa",34.74663765822785,225
28,495,276964,0345354621,10,The Terminal Man,Michael Crichton,1988.0,Ballantine Books,,,0345354621,"villa ridge, missouri, usa",34.0,110
29,500,276964,0425172546,0,Southern Cross,Patricia Daniels Cornwell,1999.0,Berkley Publishing Group,,,0425172546,"villa ridge, missouri, usa",34.0,236
30,502,276964,0440220602,9,The Chamber,John Grisham,1995.0,Dell Publishing Company,,,0440220602,"villa ridge, missouri, usa",34.0,509
31,504,276964,0451180054,0,Trial by Fire,Nancy Taylor Rosenberg,1996.0,Signet Book,,,0451180054,"villa ridge, missouri, usa",34.0,65
32,509,276964,0684867621,8,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999.0,Scribner,,,0684867621,"villa ridge, missouri, usa",34.0,118
33,510,276964,0765342987,0,Kushiel's Dart,Jacqueline Carey,2002.0,Tor Books,,,0765342987,"villa ridge, missouri, usa",34.0,60
34,512,276964,0812550307,10,"The Fires of Heaven (The Wheel of Time, Book 5)",Robert Jordan,1994.0,Tor Fantasy,,,0812550307,"villa ridge, missouri, usa",34.0,51
35,514,276964,0886773741,7,Tailchaser's Song,Tad Williams,1994.0,Daw Books,,,0886773741,"villa ridge, missouri, usa",34.0,71
36,543,276986,0060930187,10,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000.0,Perennial,,,0060930187,"haysville, kansas, usa",28.0,79
37,544,276986,0375760911,10,The Idiot Girls' Action Adventure Club,Laurie Notaro,2002.0,Villard Books,,,0375760911,"haysville, kansas, usa",28.0,113
38,545,276986,0689817851,10,Go Ask Alice,Anonymous,1998.0,Simon Pulse,,,0689817851,"haysville, kansas, usa",28.0,93
39,548,276988,0061083259,7,Dreamcatcher,Dinah McCall,1996.0,HarperTorch,,,0061083259,"sarnia, ontario, canada",34.74663765822785,481
40,549,276988,0061087017,7,Legend,Sharon Sala,1998.0,HarperTorch,,,0061087017,"sarnia, ontario, canada",34.74663765822785,65
41,550,276988,0061094404,8,Power of a Woman,Barbara Taylor Bradford,1998.0,HarperTorch,,,0061094404,"sarnia, ontario, canada",34.74663765822785,54
42,552,276988,0671793489,8,All Around the Town,Mary Higgins Clark,1993.0,Pocket Star,,,0671793489,"sarnia, ontario, canada",34.74663765822785,187
43,554,276989,0312244266,0,Winter Solstice,Rosamunde Pilcher,2000.0,Thomas Dunne Books,,,0312244266,"edson, alberta, canada",34.74663765822785,194
44,573,276997,0671011367,0,Deja Dead,Kathy Reichs,1998.0,Pocket,,,0671011367,"vancouver, british columbia, canada",37.0,180
45,583,277018,0451097009,7,I Never Promised You a Rose Garden,Joanne Greenberg,1977.0,Signet Book,,,0451097009,"lorraine, new york, usa",21.0,54
46,589,277032,0061007129,8,Kane &amp; Abel,Jeffrey Archer,1993.0,HarperTorch,,,0061007129,"weston, wisconsin, usa",34.74663765822785,52
47,596,277042,0060505885,0,The Scandalous Summer of Sissy LeBlanc : A Novel,Loraine Despres,2002.0,Perennial,,,0060505885,"hiram, georgia, usa",34.74663765822785,66
48,597,277042,0061097101,0,The Saving Graces: A Novel,Patricia Gaffney,2000.0,HarperTorch,,,0061097101,"hiram, georgia, usa",34.74663765822785,219
49,599,277042,0312283709,8,Running with Scissors,Augusten Burroughs,2002.0,St. Martin's Press,,,0312283709,"hiram, georgia, usa",34.74663765822785,67
50,600,277042,0312983271,0,Full House (Janet Evanovich's Full Series),Janet Evanovich,2002.0,St. Martin's Paperbacks,,,0312983271,"hiram, georgia, usa",34.74663765822785,257
51,601,277042,0380731851,0,Mystic River,Dennis Lehane,2002.0,HarperTorch,,,0380731851,"hiram, georgia, usa",34.74663765822785,362
52,602,277042,0446605484,7,Roses Are Red (Alex Cross Novels),James Patterson,2001.0,Warner Vision,,,0446605484,"hiram, georgia, usa",34.74663765822785,230
53,603,277042,0446611212,8,Violets Are Blue,James Patterson,2002.0,Warner Vision,,,0446611212,"hiram, georgia, usa",34.74663765822785,379
54,604,277042,0451188454,0,The Bone Collector (Lincoln Rhyme Novels (Paperback)),Jeff Deaver,2004.0,Signet Book,,,0451188454,"hiram, georgia, usa",34.74663765822785,112
55,606,277042,0609804138,9,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999.0,Three Rivers Press,,,0609804138,"hiram, georgia, usa",34.74663765822785,213
56,607,277042,0671003755,0,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996.0,Washington Square Press,,,0671003755,"hiram, georgia, usa",34.74663765822785,446
57,609,277042,0743407067,0,The First Time,Joy Fielding,2001.0,Pocket Star,,,0743407067,"hiram, georgia, usa",34.74663765822785,79
58,610,277042,074343627X,8,Dreamcatcher,Stephen King,2001.0,Pocket,,,0061083259,"hiram, georgia, usa",34.74663765822785,481
59,611,277042,0786013230,0,Out of Sight,T. J. MacGregor,2002.0,Pinnacle Books,,,0786013230,"hiram, georgia, usa",34.74663765822785,82
60,613,277042,0971880107,2,Wild Animus,Rich Shapero,2004.0,Too Far,,,0971880107,"hiram, georgia, usa",34.74663765822785,2502
61,646,277096,0064407667,7,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999.0,HarperCollins,,,0064407667,"kingston, ontario, canada",57.0,244
62,649,277107,081297106X,10,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,2003.0,Random House Trade Paperbacks,,,081297106X,"eugene, oregon, usa",57.0,99
63,655,277109,0425191184,5,Red Rabbit,Tom Clancy,2003.0,Berkley Publishing Group,,,0425191184,"wheaton, illinois, usa",34.74663765822785,137
64,657,277114,0385503822,0,The Summons,John Grisham,2002.0,Doubleday Books,,,0385503822,"jefferson, louisiana, usa",34.74663765822785,655
65,660,277124,0425189864,9,Mortal Prey,John Sandford,2003.0,Berkley Publishing Group,,,0425189864,", , canada",34.74663765822785,165
66,661,277124,0440236053,9,Writ of Execution,Perri O'Shaughnessy,2002.0,Dell Publishing Company,,,0440236053,", , canada",34.74663765822785,97
67,662,277124,0440241073,9,The Summons,John Grisham,2002.0,Dell Publishing Company,,,0385503822,", , canada",34.74663765822785,655
68,663,277124,0553586122,5,Reap the Wind,Iris Johansen,2002.0,Bantam Books,,,0553586122,", , canada",34.74663765822785,106
69,668,277139,0312960344,8,Pandora's Clock,John J. Nance,1996.0,St. Martin's Press,,,0312960344,"indianapolis, indiana, usa",34.74663765822785,58
70,672,277143,0061097101,0,The Saving Graces: A Novel,Patricia Gaffney,2000.0,HarperTorch,,,0061097101,"prospect, connecticut, usa",34.0,219
71,674,277143,0345342968,9,Fahrenheit 451,RAY BRADBURY,1987.0,Del Rey,,,0345342968,"prospect, connecticut, usa",34.0,409
72,675,277143,0345446860,0,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002.0,Ballantine Books,,,0345446860,"prospect, connecticut, usa",34.0,131
73,676,277143,0375756981,0,The Vagina Monologues: The V-Day Edition,Eve Ensler,2000.0,Villard Books,,,0375756981,"prospect, connecticut, usa",34.0,63
74,678,277143,0671027662,0,Coast Road: A Novel,Barbara Delinsky,1999.0,Pocket Books,,,0671027662,"prospect, connecticut, usa",34.0,104
75,679,277143,0767903382,8,Tender at the Bone: Growing Up at the Table,Ruth Reichl,1999.0,Broadway Books,,,0767903382,"prospect, connecticut, usa",34.0,60
76,685,277157,0312874243,0,The Return,Buzz Aldrin,2000.0,St Martins Pr,,,0312874243,"garden grove, california, usa",70.0,57
77,687,277157,0316152196,0,Angels Flight (Detective Harry Bosch Mysteries),Michael Connelly,1999.0,Little Brown &amp; Co,,,0316152196,"garden grove, california, usa",70.0,78
78,688,277157,0316154059,5,City of Bones,Michael Connelly,2002.0,Warner Books,,,0316154059,"garden grove, california, usa",70.0,136
79,689,277157,0316287555,0,Day of Confession,Allan Folsom,1998.0,"Little, Brown",,,0316287555,"garden grove, california, usa",70.0,68
80,690,277157,034541389X,0,Flesh and Blood,Jonathan Kellerman,2002.0,Ballantine Books,,,034541389X,"garden grove, california, usa",70.0,254
81,692,277157,0345452550,7,A Cold Heart: An Alex Delaware Novel,JONATHAN KELLERMAN,2003.0,Ballantine Books,,,0345452550,"garden grove, california, usa",70.0,67
82,693,277157,0375727981,5,Saving Faith,DAVID BALDACCI,2000.0,Random House Large Print,,,0375727981,"garden grove, california, usa",70.0,208
83,694,277157,0380731851,0,Mystic River,Dennis Lehane,2002.0,HarperTorch,,,0380731851,"garden grove, california, usa",70.0,362
84,703,277157,0399146504,7,The Devil's Code,John Sandford,2000.0,G. P. Putnam's Sons,,,0399146504,"garden grove, california, usa",70.0,121
85,711,277157,0399148639,6,Mortal Prey,John Sandford,2002.0,Putnam Publishing Group,,,0425189864,"garden grove, california, usa",70.0,165
86,726,277157,0449221512,0,I Is for Innocent,Sue Grafton,1994.0,Fawcett Books,,,0449221512,"garden grove, california, usa",70.0,162
87,728,277157,0670894184,0,Back Roads,Tawni O'Dell,2000.0,Viking Books,,,0670894184,"garden grove, california, usa",70.0,276
88,729,277157,0671024094,7,The Coffin Dancer (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,1999.0,Pocket Books,,,0671024094,"garden grove, california, usa",70.0,89
89,730,277157,0679450408,6,Silent Witness,Richard North Patterson,1997.0,Random House Inc,,,0679450408,"garden grove, california, usa",70.0,146
90,737,277157,0743486226,7,Angels &amp; Demons,Dan Brown,2003.0,Atria,,,0743486226,"garden grove, california, usa",70.0,670
91,740,277157,0971880107,0,Wild Animus,Rich Shapero,2004.0,Too Far,,,0971880107,"garden grove, california, usa",70.0,2502
92,746,277168,0425175405,0,Black Notice,Patricia Daniels Cornwell,2000.0,Berkley Publishing Group,,,0425175405,"palestine, texas, usa",37.0,360
93,748,277168,0440225701,0,The Street Lawyer,JOHN GRISHAM,1999.0,Dell,,,0440225701,"palestine, texas, usa",37.0,545
94,753,277168,0553263226,0,The Bourne Supremacy,Robert Ludlum,1987.0,Bantam,,,0553263226,"palestine, texas, usa",37.0,130
95,756,277168,067102423X,0,Bag of Bones,Stephen King,1999.0,Pocket,,,067102423X,"palestine, texas, usa",37.0,195
96,757,277168,0671032658,4,The Green Mile,Stephen King,1999.0,Pocket,,,0671032658,"palestine, texas, usa",37.0,264
97,767,277170,0425178102,0,Big Trouble,Dave Barry,2001.0,Berkley Publishing Group,,,0425178102,"pasadena, california, usa",34.74663765822785,222
98,768,277170,0446609404,0,Cradle and All,James Patterson,2001.0,Warner Vision,,,0446609404,"pasadena, california, usa",34.74663765822785,265
99,769,277170,0446610038,0,1st to Die: A Novel,James Patterson,2002.0,Warner Vision,,,0446610038,"pasadena, california, usa",34.74663765822785,509
100,770,277170,0451178017,0,Over the Edge,Jonathan Kellerman,1993.0,Signet Book,,,0451178017,"pasadena, california, usa",34.74663765822785,117
101,772,277170,0553285920,9,Silent Partner (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1990.0,Bantam Books,,,0553285920,"pasadena, california, usa",34.74663765822785,58
102,775,277171,0345404114,0,Sleepers,Lorenzo Carcaterra,1996.0,Ballantine Books,,,0345404114,"tilton, new hampshire, usa",54.0,129
103,778,277171,0385479565,0,The Hot Zone,Richard Preston,1995.0,Anchor,,,0385479565,"tilton, new hampshire, usa",54.0,260
104,783,277171,0449213730,8,The Ritual Bath (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,1991.0,Fawcett Books,,,0449213730,"tilton, new hampshire, usa",54.0,78
105,785,277171,0451173139,7,Night over Water,Ken Follett,1992.0,Signet Book,,,0451173139,"tilton, new hampshire, usa",54.0,105
106,787,277171,0553299506,0,Private Eyes (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1992.0,Bantam Books,,,0553299506,"tilton, new hampshire, usa",54.0,72
107,789,277171,0553580930,9,A Man in Full,Tom Wolfe,1999.0,Bantam,,,0553580930,"tilton, new hampshire, usa",54.0,174
108,792,277171,080410946X,8,Object Lessons,Anna Quindlen,1992.0,Ivy Books,,,080410946X,"tilton, new hampshire, usa",54.0,65
109,793,277171,0804114986,0,The Bonesetter's Daughter,Amy Tan,2002.0,Ballantine Books,,,0804114986,"tilton, new hampshire, usa",54.0,384
110,795,277179,0440414806,10,Holes (Yearling Newbery),LOUIS SACHAR,2000.0,Yearling,,,0440414806,"charleston, south carolina, usa",45.0,154
111,812,277187,0440224705,0,Hard Time (V.I. Warshawski Novels (Paperback)),SARA PARETSKY,2000.0,Dell,,,0440224705,"st. louis, missouri, usa",47.0,92
112,814,277187,0515115649,0,The Cat Who Came to Breakfast,Lilian Jackson Braun,1995.0,Jove Books,,,0515115649,"st. louis, missouri, usa",47.0,70
113,815,277187,0515129941,0,The Cat Who Robbed a Bank (Cat Who... (Paperback)),Lilian Jackson Braun,2001.0,Jove Books,,,0515129941,"st. louis, missouri, usa",47.0,67
114,818,277187,0671042858,0,The Girl Who Loved Tom Gordon,Stephen King,2000.0,Pocket,,,0671042858,"st. louis, missouri, usa",47.0,219
115,822,277187,0679745203,9,The English Patient,Michael Ondaatje,1996.0,Vintage Books USA,,,0679745203,"st. louis, missouri, usa",47.0,223
116,834,277188,0525945636,4,Code to Zero,Ken Follett,2000.0,Dutton Books,,,0525945636,"waterloo, ontario, canada",42.0,152
117,840,277195,0060391626,10,I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998.0,Regan Books,,,0060391626,"san francisco, california, usa",54.0,171
118,841,277195,0060502258,0,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002.0,HarperTorch,,,0060502258,"san francisco, california, usa",54.0,376
119,846,277195,0060987561,0,I Know This Much Is True,Wally Lamb,1999.0,Regan Books,,,0060987561,"san francisco, california, usa",54.0,276
120,855,277195,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002.0,"Little, Brown",,,0316666343,"san francisco, california, usa",54.0,1295
121,856,277195,0316734837,0,Fortune's Rocks : A Novel,Anita Shreve,2002.0,"Little, Brown",,,0316734837,"san francisco, california, usa",54.0,155
122,857,277195,0330332775,10,Bridget Jones's Diary,Helen Fielding,1997.0,Picador (UK),,,0330332775,"san francisco, california, usa",54.0,815
123,860,277195,0345413881,0,Dr. Death (Alex Delaware Novels (Paperback)),Jonathan Kellerman,2001.0,Ballantine Books,,,0345413881,"san francisco, california, usa",54.0,108
124,862,277195,0375406328,0,Lying Awake,Mark Salzman,2000.0,Alfred A. Knopf,,,0375406328,"san francisco, california, usa",54.0,62
125,864,277195,037582233X,0,Stargirl,JERRY SPINELLI,2002.0,Knopf Books for Young Readers,,,037582233X,"san francisco, california, usa",54.0,112
126,867,277195,0385475721,0,The Blind Assassin,Margaret Atwood,2000.0,Nan A. Talese,,,0385475721,"san francisco, california, usa",54.0,255
127,869,277195,0385729332,0,The Sisterhood of the Traveling Pants,Ann Brashares,2001.0,Delacorte Press,,,0385729332,"san francisco, california, usa",54.0,76
128,873,277195,0399142789,0,Conversations with God : An Uncommon Dialogue (Book 1),Neale Donald Walsch,1996.0,Putnam Publishing Group,,,0399142789,"san francisco, california, usa",54.0,59
129,874,277195,042511774X,0,Breathing Lessons,Anne Tyler,1994.0,Berkley Publishing Group,,,042511774X,"san francisco, california, usa",54.0,239
130,876,277195,0440214424,0,Out of Sight,Elmore Leonard,1998.0,Dell,,,0786013230,"san francisco, california, usa",54.0,82
131,877,277195,0440236673,0,The Brethren,John Grisham,2000.0,Island,,,0440236673,"san francisco, california, usa",54.0,556
132,878,277195,0446604801,0,Jack &amp; Jill (Alex Cross Novels),James Patterson,1997.0,Warner Books,,,0446604801,"san francisco, california, usa",54.0,182
133,879,277195,0446605484,0,Roses Are Red (Alex Cross Novels),James Patterson,2001.0,Warner Vision,,,0446605484,"san francisco, california, usa",54.0,230
134,880,277195,0446606189,0,Cat &amp; Mouse (Alex Cross Novels),James Patterson,1998.0,Warner Books,,,0446606189,"san francisco, california, usa",54.0,198
135,881,277195,0446606383,0,The Midnight Club,James Patterson,1999.0,Warner Vision,,,0446606383,"san francisco, california, usa",54.0,109
136,882,277195,0446609323,0,Black Friday,James Patterson,1989.0,Warner Vision,,,0446609323,"san francisco, california, usa",54.0,112
137,883,277195,0449134482,0,Dances With Wolves,Michael Blake,1990.0,Fawcett Books,,,0449134482,"san francisco, california, usa",54.0,127
138,884,277195,0449223345,0,A Pirate Looks at Fifty,Jimmy Buffett,1999.0,Fawcett Books,,,0449223345,"san francisco, california, usa",54.0,64
139,889,277195,0553268880,0,The Prince of Tides,Pat Conroy,1987.0,Bantam Books,,,0553268880,"san francisco, california, usa",54.0,291
140,892,277195,0553379615,10,Into the Forest,JEAN HEGLAND,1998.0,Bantam,,,0553379615,"san francisco, california, usa",54.0,52
141,893,277195,0553572997,0,The Alienist,Caleb Carr,1995.0,Bantam Books,,,0553572997,"san francisco, california, usa",54.0,350
142,895,277195,0670869902,10,How Stella Got Her Groove Back,Terry McMillan,1996.0,Viking Books,,,0451192001,"san francisco, california, usa",54.0,210
143,897,277195,0671021001,10,She's Come Undone (Oprah's Book Club),Wally Lamb,1998.0,Pocket,,,0671021001,"san francisco, california, usa",54.0,468
144,899,277195,0671510053,0,SHIPPING NEWS,Annie Proulx,1994.0,Scribner,,,0671510053,"san francisco, california, usa",54.0,382
145,900,277195,0671647458,10,Color Purple,Alice Walker,1987.0,Pocket,,,0671647458,"san francisco, california, usa",54.0,83
146,903,277195,0679459618,0,Dr. Death: A Novel,Jonathan Kellerman,2000.0,Random House Trade,,,0679459618,"san francisco, california, usa",54.0,67
147,906,277195,0679745203,0,The English Patient,Michael Ondaatje,1996.0,Vintage Books USA,,,0679745203,"san francisco, california, usa",54.0,223
148,907,277195,0679746048,0,"Girl, Interrupted",SUSANNA KAYSEN,1994.0,Vintage,,,0679746048,"san francisco, california, usa",54.0,262
149,910,277195,0684841347,0,ONE DAY MY SOUL JUST OPENED UP : 40 DAYS AND 40 NIGHTS TOWARD SPIRITUAL STRENGTH AND PERSONAL GROWTH,Iyanla Vanzant,1998.0,Fireside,,,0684841347,"san francisco, california, usa",54.0,50
150,915,277195,0802115160,0,Kitchen,Banana Yoshimoto,1993.0,Pub Group West,,,0802115160,"san francisco, california, usa",54.0,100
151,917,277195,080410946X,0,Object Lessons,Anna Quindlen,1992.0,Ivy Books,,,080410946X,"san francisco, california, usa",54.0,65
152,918,277195,0811801802,0,Sabine's Notebook: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Continues,Nick Bantock,1992.0,Chronicle Books,,,0811801802,"san francisco, california, usa",54.0,53
153,926,277195,1558743669,0,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995.0,Health Communications,,,1558743669,"san francisco, california, usa",54.0,265
154,929,277195,1573221856,10,High Maintenance,Jennifer Belle,2001.0,Riverhead Hardcover,,,1573221856,"san francisco, california, usa",54.0,97
155,946,277197,0316969680,8,The Beach House,James Patterson,2002.0,"Little, Brown",,,0316969680,"allendale, michigan, usa",34.74663765822785,435
156,947,277197,0375703861,7,White Teeth: A Novel,Zadie Smith,2001.0,Vintage Books USA,,,0375703861,"allendale, michigan, usa",34.74663765822785,164
157,950,277197,0743206045,0,Daddy's Little Girl,Mary Higgins Clark,2002.0,Simon &amp; Schuster,,,0743206045,"allendale, michigan, usa",34.74663765822785,247
158,951,277197,0743229878,6,Mount Vernon Love Story : A Novel of George and Martha Washington,Mary Higgins Clark,2002.0,Simon &amp; Schuster,,,0743229878,"allendale, michigan, usa",34.74663765822785,52
159,958,277203,0380600129,0,The Indian in the Cupboard,Lynne Reid Banks,1999.0,HarperTrophy,,,0380600129,"olympia, washington, usa",8.0,82
160,959,277203,0380702843,0,The Return of the Indian (Indian in the Cupboard),Lynne Reid Banks,1999.0,HarperTrophy,,,0380702843,"olympia, washington, usa",8.0,56
161,961,277203,039480001X,9,The Cat in the Hat,Dr. Seuss,1957.0,Random House Books for Young Readers,,,039480001X,"olympia, washington, usa",8.0,53
162,1005,277205,0671664964,7,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1988.0,Pocket,,,0671664964,"toronto, ontario, canada",25.0,268
163,1006,277212,044023722X,8,A Painted House,John Grisham,2001.0,Dell Publishing Company,,,038550120X,"framingham, massachusetts, usa",34.74663765822785,838
164,1012,277229,0312282990,7,The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon,2001.0,Picador,,,0312282990,"littleton, colorado, usa",34.74663765822785,198
165,1014,277230,037541309X,7,Balzac and the Little Chinese Seamstress,Dai Sijie,2001.0,Alfred A. Knopf,,,037541309X,"efland, north carolina, usa",34.74663765822785,75
166,1015,277230,0826308791,5,The Education of Little Tree (A Zia Book),Forrest Carter,1986.0,University of New Mexico Press,,,0826308791,"efland, north carolina, usa",34.74663765822785,70
167,1016,277231,014023313X,0,The Stone Diaries,Carol Shields,1995.0,Penguin Books,,,014023313X,"carpinteria, california, usa",34.74663765822785,212
168,1017,277235,014029628X,6,Girl in Hyacinth Blue,Susan Vreeland,2000.0,Penguin Books,,,014029628X,"chicago, illinois, usa",36.0,225
169,1018,277235,0375703861,10,White Teeth: A Novel,Zadie Smith,2001.0,Vintage Books USA,,,0375703861,"chicago, illinois, usa",36.0,164
170,1020,277237,038550926X,7,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2003.0,Doubleday,,,038550926X,"auburn, alabama, usa",42.0,204
171,1023,277243,0449005909,8,Nightshade,John Saul,2001.0,Ballantine Books,,,0449005909,"alpine, texas, usa",34.74663765822785,90
172,1024,277244,0345443284,0,While I Was Gone,Sue Miller,1999.0,Ballantine Books,,,0345443284,"des moines, iowa, usa",34.74663765822785,431
173,1026,277244,0425128164,0,The Voice of the Night,Dean R. Koontz,1996.0,Berkley Publishing Group,,,0425128164,"des moines, iowa, usa",34.74663765822785,89
174,1028,277244,0670401765,0,Ironweed,William Kennedy,1982.0,Penguin USA,,,0670401765,"des moines, iowa, usa",34.74663765822785,55
175,1031,277245,0316601950,0,The Pilot's Wife : A Novel,Anita Shreve,1999.0,Back Bay Books,,,0316601950,"vancouver, british columbia, canada",34.74663765822785,568
176,1032,277246,0452282152,10,Girl with a Pearl Earring,Tracy Chevalier,2001.0,Plume Books,,,0452282152,"skillman, new jersey, usa",34.74663765822785,526
177,1033,277253,0380807343,9,Coraline,Neil Gaiman,2003.0,HarperTrophy,,,0380807343,"langley, british columbia, canada",24.0,183
178,1035,277257,0345422384,8,Pandora: New Tales of the Vampires (New Tales of the Vampires),Anne Rice,1999.0,Ballantine Books,,,0345422384,"san jose, california, usa",34.74663765822785,95
179,1051,277288,0425154092,0,From Potter's Field,Patricia Daniels Cornwell,1996.0,Berkley Publishing Group,,,0425154092,"glenburn, maine, usa",62.0,231
180,1054,277293,0380721643,4,Track of the Cat (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1994.0,Avon Books,,,0380721643,"manchester, new york, usa",34.74663765822785,60
181,1056,277315,0060173289,8,Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,1996.0,HarperCollins,,,0060173289,"bloomingont, indiana, usa",33.0,130
182,1057,277315,0060976845,5,Little Altars Everywhere: A Novel,Rebecca Wells,1996.0,Perennial,,,0060976845,"bloomingont, indiana, usa",33.0,434
183,1059,277330,0441478123,0,The Left Hand of Darkness (Remembering Tomorrow),Ursula K. Le Guin,1991.0,ACE Charter,,,0441478123,"durham, north carolina, usa",49.0,67
